Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate,Age Adjusted Rate,Age Adjusted Rate Lower 95% Confidence Interval,Age Adjusted Rate Upper 95% Confidence Interval,Age Adjusted Rate Standard Error
,Alabama,1,1999,1999,178,2514877,7.1,7.2,6.2,8.3,0.5
,Alabama,1,2000,2000,149,2520181,5.9,6,5,6.9,0.5
,Alabama,1,2001,2001,185,2531014,7.3,7.3,6.2,8.3,0.5
,Alabama,1,2002,2002,182,2523275,7.2,7.1,6,8.1,0.5
,Alabama,1,2003,2003,182,2526455,7.2,7,6,8,0.5
,Alabama,1,2004,2004,214,2531788,8.5,8.3,7.2,9.4,0.6
,Alabama,1,2005,2005,213,2545297,8.4,8.1,7,9.2,0.6
,Alabama,1,2006,2006,231,2568919,9,8.9,7.7,10,0.6
,Alabama,1,2007,2007,208,2581975,8.1,7.7,6.7,8.8,0.5
,Alabama,1,2008,2008,201,2593895,7.7,7.5,6.4,8.5,0.5
,Alabama,1,2009,2009,188,2603662,7.2,6.9,5.9,7.9,0.5
,Alabama,1,2010,2010,196,2601070,7.5,7.4,6.3,8.4,0.5
,Alabama,1,2011,2011,196,2589142,7.6,7.3,6.2,8.3,0.5
,Alabama,1,2012,2012,208,2574500,8.1,7.9,6.8,9,0.6
,Alabama,1,2013,2013,211,2568741,8.2,8.1,7,9.2,0.6
,Alabama,1,2014,2014,222,2559760,8.7,8.7,7.6,9.9,0.6
,Alabama,1,2015,2015,204,2547846,8,8,6.9,9.1,0.6
,Alabama,1,2016,2016,195,2531094,7.7,7.6,6.6,8.7,0.6
,Alabama,1,2017,2017,206,2517133,8.2,8.2,7.1,9.3,0.6
,Alabama,1,2018,2018,184,2504200,7.3,7.5,6.4,8.6,0.6
,Alabama,1,2019,2019,181,2492858,7.3,7.3,6.2,8.4,0.5
,Alabama,1,2020,2020,262,2488473,10.5,10.7,9.4,12,0.7
,Alaska,2,1999,1999,11,388200,Unreliable,Unreliable,1.4,5,0.8
,Alaska,2,2000,2000,15,388460,Unreliable,Unreliable,2.1,6.3,1
,Alaska,2,2001,2001,19,393091,Unreliable,Unreliable,2.8,7.3,1.1
,Alaska,2,2002,2002,24,396209,6.1,5.9,3.8,8.7,1.2
,Alaska,2,2003,2003,19,398450,Unreliable,Unreliable,2.7,7.1,1
,Alaska,2,2004,2004,24,403445,5.9,5.8,3.7,8.6,1.2
,Alaska,2,2005,2005,19,406480,Unreliable,Unreliable,2.6,6.8,1
,Alaska,2,2006,2006,19,409201,Unreliable,Unreliable,2.7,6.9,1
,Alaska,2,2007,2007,16,409091,Unreliable,Unreliable,2.1,5.9,0.9
,Alaska,2,2008,2008,13,409032,Unreliable,Unreliable,1.6,5.1,0.8
,Alaska,2,2009,2009,17,408902,Unreliable,Unreliable,2.3,6.4,1
,Alaska,2,2011,2011,19,416353,Unreliable,Unreliable,2.7,7.2,1.1
,Alaska,2,2012,2012,16,419471,Unreliable,Unreliable,2.1,5.9,0.9
,Alaska,2,2013,2013,14,418345,Unreliable,Unreliable,1.8,5.6,0.9
,Alaska,2,2014,2014,20,417846,4.8,5.1,3.1,7.9,1.2
,Alaska,2,2015,2015,19,415609,Unreliable,Unreliable,3,7.7,1.1
,Alaska,2,2016,2016,17,412129,Unreliable,Unreliable,2.5,6.9,1.1
,Alaska,2,2017,2017,24,406231,5.9,6.3,4,9.4,1.3
,Alaska,2,2018,2018,14,400895,Unreliable,Unreliable,2.1,6.5,1
,Alaska,2,2019,2019,15,394876,Unreliable,Unreliable,2.3,6.8,1.1
,Alaska,2,2020,2020,30,393324,7.6,8.2,5.5,11.7,1.5
,Arizona,4,1999,1999,133,2815488,4.7,5,4.2,5.9,0.4
,Arizona,4,2000,2000,124,2869955,4.3,4.5,3.7,5.3,0.4
,Arizona,4,2001,2001,136,2950869,4.6,4.8,4,5.6,0.4
,Arizona,4,2002,2002,159,3006418,5.3,5.6,4.7,6.4,0.4
,Arizona,4,2003,2003,144,3054142,4.7,4.9,4.1,5.7,0.4
,Arizona,4,2004,2004,155,3120667,5,5.2,4.3,6,0.4
,Arizona,4,2005,2005,151,3211322,4.7,4.8,4,5.6,0.4
,Arizona,4,2006,2006,177,3305628,5.4,5.5,4.7,6.3,0.4
,Arizona,4,2007,2007,156,3367478,4.6,4.7,4,5.5,0.4
,Arizona,4,2008,2008,157,3409266,4.6,4.6,3.9,5.4,0.4
,Arizona,4,2009,2009,158,3421501,4.6,4.7,3.9,5.4,0.4
,Arizona,4,2010,2010,204,3425899,6,6.1,5.2,6.9,0.4
,Arizona,4,2011,2011,220,3448914,6.4,6.5,5.6,7.4,0.4
,Arizona,4,2012,2012,213,3465288,6.1,6.3,5.4,7.1,0.4
,Arizona,4,2013,2013,256,3483347,7.3,7.6,6.6,8.5,0.5
,Arizona,4,2014,2014,251,3517582,7.1,7.4,6.4,8.3,0.5
,Arizona,4,2015,2015,284,3547269,8,8.2,7.3,9.2,0.5
,Arizona,4,2016,2016,271,3576505,7.6,7.8,6.9,8.7,0.5
,Arizona,4,2017,2017,259,3613947,7.2,7.4,6.5,8.3,0.5
,Arizona,4,2018,2018,226,3683036,6.1,6.4,5.5,7.2,0.4
,Arizona,4,2019,2019,272,3728757,7.3,7.8,6.8,8.7,0.5
,Arizona,4,2020,2020,325,3790702,8.6,9.1,8.1,10.1,0.5
,Arkansas,5,1999,1999,93,1465964,6.3,6.5,5.2,8,0.7
,Arkansas,5,2000,2000,81,1480854,5.5,5.5,4.4,6.9,0.6
,Arkansas,5,2001,2001,100,1493255,6.7,6.7,5.4,8,0.7
,Arkansas,5,2002,2002,111,1493006,7.4,7.4,6,8.8,0.7
,Arkansas,5,2003,2003,137,1498223,9.1,9.1,7.6,10.6,0.8
,Arkansas,5,2004,2004,112,1506429,7.4,7.4,6,8.8,0.7
,Arkansas,5,2005,2005,119,1518677,7.8,7.8,6.4,9.3,0.7
,Arkansas,5,2006,2006,138,1534920,9,8.9,7.4,10.4,0.8
,Arkansas,5,2007,2007,151,1541919,9.8,9.7,8.2,11.3,0.8
,Arkansas,5,2008,2008,149,1547213,9.6,9.3,7.8,10.8,0.8
,Arkansas,5,2009,2009,136,1549578,8.8,8.7,7.2,10.2,0.8
,Arkansas,5,2010,2010,138,1552821,8.9,8.7,7.2,10.1,0.7
,Arkansas,5,2011,2011,138,1551970,8.9,8.6,7.2,10.1,0.7
,Arkansas,5,2012,2012,134,1548905,8.7,8.6,7.2,10.1,0.8
,Arkansas,5,2013,2013,137,1546664,8.9,8.9,7.4,10.3,0.8
,Arkansas,5,2014,2014,155,1542521,10,10.2,8.6,11.8,0.8
,Arkansas,5,2015,2015,123,1541311,8,8.1,6.6,9.5,0.7
,Arkansas,5,2016,2016,141,1538831,9.2,9.3,7.7,10.8,0.8
,Arkansas,5,2017,2017,188,1537543,12.2,12.6,10.8,14.4,0.9
,Arkansas,5,2018,2018,190,1533118,12.4,12.7,10.9,14.5,0.9
,Arkansas,5,2019,2019,138,1526251,9,9.3,7.7,10.8,0.8
,Arkansas,5,2020,2020,183,1528054,12,12.4,10.6,14.2,0.9
,California,6,1999,1999,730,19636325,3.7,4,3.7,4.3,0.1
,California,6,2000,2000,741,19878214,3.7,3.9,3.7,4.2,0.1
,California,6,2001,2001,741,20270096,3.7,3.8,3.6,4.1,0.1
,California,6,2002,2002,775,20431231,3.8,4,3.7,4.2,0.1
,California,6,2003,2003,868,20597093,4.2,4.3,4,4.6,0.1
,California,6,2004,2004,883,20758388,4.3,4.3,4,4.6,0.1
,California,6,2005,2005,962,20878184,4.6,4.7,4.4,5,0.2
,California,6,2006,2006,907,20978269,4.3,4.4,4.1,4.7,0.1
,California,6,2007,2007,899,21059200,4.3,4.3,4,4.6,0.1
,California,6,2008,2008,826,21173254,3.9,3.9,3.7,4.2,0.1
,California,6,2009,2009,867,21274367,4.1,4.1,3.8,4.4,0.1
,California,6,2010,2010,752,21342847,3.5,3.6,3.3,3.8,0.1
,California,6,2011,2011,808,21443545,3.8,3.8,3.5,4.1,0.1
,California,6,2012,2012,867,21509518,4,4.1,3.8,4.3,0.1
,California,6,2013,2013,852,21539263,4,4,3.8,4.3,0.1
,California,6,2014,2014,846,21693851,3.9,3.9,3.7,4.2,0.1
,California,6,2015,2015,949,21755077,4.4,4.4,4.2,4.7,0.1
,California,6,2016,2016,951,21665191,4.4,4.5,4.2,4.7,0.1
,California,6,2017,2017,1015,21739972,4.7,4.8,4.5,5.1,0.2
,California,6,2018,2018,1002,21628619,4.6,4.8,4.5,5.1,0.2
,California,6,2019,2019,1038,21495770,4.8,5,4.7,5.3,0.2
,California,6,2020,2020,1265,21345207,5.9,6.1,5.8,6.4,0.2
,Colorado,8,1999,1999,65,2583663,2.5,2.5,2,3.2,0.3
,Colorado,8,2000,2000,79,2628451,3,3,2.4,3.8,0.3
,Colorado,8,2001,2001,94,2704483,3.5,3.4,2.8,4.2,0.4    
,Colorado,8,2002,2002,111,2725348,4.1,4.1,3.3,4.8,0.4   
